"","from","to","database","source"
"3648","PDYN","OPRD1","omnipath","omnipath"
"3649","PDYN","OPRK1","omnipath","omnipath"
"3650","PDYN","OPRM1","omnipath","omnipath"
"3651","PECAM1","PECAM1","nichenet_verschueren","nichenet_verschueren"
"3652","PECAM1","CD38","omnipath","omnipath"
"3653","PECAM1","ITGAV","omnipath","omnipath"
"3654","PECAM1","ITGB3","omnipath","omnipath"
"3655","PENK","MRGPRX3","nichenet_verschueren","nichenet_verschueren"
"3656","PENK","OGFR","nichenet_verschueren","nichenet_verschueren"
"3657","PENK","OPRD1","omnipath","omnipath"
"3658","PENK","MRGPRX1","omnipath","omnipath"
"3659","PENK","OPRM1","omnipath","omnipath"
"3660","PENK","OPRK1","omnipath","omnipath"
"3661","PENK","OPRL1","omnipath","omnipath"
"3662","PENK","GRM7","omnipath","omnipath"
"3663","PENK","ADRA2A","omnipath","omnipath"
"3664","PENK","MTNR1A","omnipath","omnipath"
"3665","PENK","MRGPRX4","omnipath","omnipath"
"3666","PF4","CXCR3","omnipath","omnipath"
"3667","PF4","FGFR2","omnipath","omnipath"
"3668","PF4","SDC2","omnipath","omnipath"
"3669","PF4","ACKR1","omnipath","omnipath"
"3670","PF4","LDLR","omnipath","omnipath"
"3671","PF4","THBD","omnipath","omnipath"
"3672","PF4","PROCR","omnipath","omnipath"
"3673","PF4V1","CXCR3","omnipath","omnipath"
"3674","PGF","NRP1","omnipath","omnipath"
"3675","PGF","NRP2","omnipath","omnipath"
"3676","PGF","FLT1","omnipath","omnipath"
"3677","PGF","KDR","omnipath","omnipath"
"3678","PGLYRP1","TREM1","omnipath","omnipath"
"3679","PI16","MFAP3L","omnipath","omnipath"
"3680","PI16","TNFRSF21","omnipath","omnipath"
"3681","PIGA","PIGR","omnipath","omnipath"
"3682","PIP","AQP5","omnipath","omnipath"
"3683","PIP","CD4","omnipath","omnipath"
"3684","PIP","NPTN","omnipath","omnipath"
"3685","PLA2G10","PLA2R1","omnipath","omnipath"
"3686","PLA2G2A","ITGA4","omnipath","omnipath"
"3687","PLA2G2A","ITGA5","omnipath","omnipath"
"3688","PLA2G2A","ITGAV","omnipath","omnipath"
"3689","PLA2G2A","ITGB1","omnipath","omnipath"
"3690","PLA2G2A","ITGB3","omnipath","omnipath"
"3691","PLA2G2A","ERBB3","omnipath","omnipath"
"3692","PLA2G2A","EGFR","omnipath","omnipath"
"3693","PLAT","ITGAM","omnipath","omnipath"
"3694","PLAT","LRP1","omnipath","omnipath"
"3695","PLAT","ITGB2","omnipath","omnipath"
"3696","PLAU","PLAUR","omnipath","omnipath"
"3697","PLAU","LRP1","omnipath","omnipath"
"3698","PLAU","LRP2","omnipath","omnipath"
"3699","PLAU","ST14","omnipath","omnipath"
"3700","PLAU","IGF2R","omnipath","omnipath"
"3701","PLB1","IGDCC4","nichenet_verschueren","nichenet_verschueren"
"3702","PLEKHO2","PDGFRB","nichenet_verschueren","nichenet_verschueren"
"3703","PLG","PLAT","omnipath","omnipath"
"3704","PLG","F2R","omnipath","omnipath"
"3705","PLG","ITGB1","omnipath","omnipath"
"3706","PLG","F3","omnipath","omnipath"
"3707","PLG","PLGRKT","omnipath","omnipath"
"3708","PLG","ITGA9","omnipath","omnipath"
"3709","PLG","F2RL1","omnipath","omnipath"
"3710","PLG","PLAU","omnipath","omnipath"
"3711","PLTP","ABCA1","omnipath","omnipath"
"3712","PLTP","APOA1","omnipath","omnipath"
"3713","PLXNA1","NOTCH1","omnipath","omnipath"
"3714","PLXNA1","TREM2","omnipath","omnipath"
"3715","PLXNA1","TYROBP","omnipath","omnipath"
"3716","PLXNA2","SEMA6A","omnipath","omnipath"
"3717","PMCH","MCHR1","omnipath","omnipath"
"3718","PMCH","MCHR2","omnipath","omnipath"
"3719","PMCH","MERTK","omnipath","omnipath"
"3720","PNOC","OPRL1","omnipath","omnipath"
"3721","PODXL","SELL","omnipath","omnipath"
"3722","PODXL2","SELL","omnipath","omnipath"
"3723","POMC","OPRD1","omnipath","omnipath"
"3724","POMC","OPRK1","omnipath","omnipath"
"3725","POMC","MC1R","omnipath","omnipath"
"3726","POMC","MC3R","omnipath","omnipath"
"3727","POMC","MC4R","omnipath","omnipath"
"3728","POMC","MC5R","omnipath","omnipath"
"3729","POMC","OPRM1","omnipath","omnipath"
"3730","POMC","MC2R","omnipath","omnipath"
"3731","POMZP3","MERTK","nichenet_verschueren","nichenet_verschueren"
"3732","POSTN","PTK7","omnipath","omnipath"
"3733","POSTN","ITGAV","omnipath","omnipath"
"3734","POSTN","ITGB3","omnipath","omnipath"
"3735","POSTN","ITGB5","omnipath","omnipath"
"3736","PPBP","CXCR2","omnipath","omnipath"
"3737","PPBP","OPRM1","omnipath","omnipath"
