"","from","to","database","source"
"1821","F11","Gp1ba","omnipath","omnipath"
"1822","F11","Gp1bb","omnipath","omnipath"
"1823","F11","Gp5","omnipath","omnipath"
"1824","F11","Gp9","omnipath","omnipath"
"1825","F11r","F11r","nichenet_verschueren","nichenet_verschueren"
"1826","F11r","Itgal","omnipath","omnipath"
"1827","F11r","Itgb2","omnipath","omnipath"
"1828","F11r","Itgb2l","omnipath","omnipath"
"1829","F11r","Jam2","omnipath","omnipath"
"1830","F11r","Jam3","nichenet_verschueren","nichenet_verschueren"
"1831","F11r","Robo3","nichenet_verschueren","nichenet_verschueren"
"1832","F12","Cd93","omnipath","omnipath"
"1833","F12","F11","omnipath","omnipath"
"1834","F12","Gp1ba","omnipath","omnipath"
"1835","F12","Gp1bb","omnipath","omnipath"
"1836","F12","Gp5","omnipath","omnipath"
"1837","F12","Gp9","omnipath","omnipath"
"1838","F12","Klkb1","omnipath","omnipath"
"1839","F13a1","Itga4","omnipath","omnipath"
"1840","F13a1","Itga9","omnipath","omnipath"
"1841","F13a1","Itgb1","omnipath","omnipath"
"1842","F2","F2r","omnipath","omnipath"
"1843","F2","F2rl1","omnipath","omnipath"
"1844","F2","F2rl2","omnipath","omnipath"
"1845","F2","F2rl3","omnipath","omnipath"
"1846","F2","F5","omnipath","omnipath"
"1847","F2","F8","omnipath","omnipath"
"1848","F2","Gp1ba","omnipath","omnipath"
"1849","F2","Gp9","omnipath","omnipath"
"1850","F2","Itga2b","omnipath","omnipath"
"1851","F2","Thbd","omnipath","omnipath"
"1852","F5","Proc","omnipath","omnipath"
"1853","F7","F10","omnipath","omnipath"
"1854","F7","F3","omnipath","omnipath"
"1855","F7","F9","omnipath","omnipath"
"1856","F8","Asgr2","omnipath","omnipath"
"1857","F8","F10","omnipath","omnipath"
"1858","F8","Ldlr","omnipath","omnipath"
"1859","F8","Lrp1","omnipath","omnipath"
"1860","F8","Lrp2","omnipath","omnipath"
"1861","F8","Lrp4","omnipath","omnipath"
"1862","F9","F7","omnipath","omnipath"
"1863","F9","Lrp1","omnipath","omnipath"
"1864","Fam3b","Lrp5","omnipath","omnipath"
"1865","Fam3c","Adgrg5","omnipath","omnipath"
"1866","Fam3c","Clec2d","omnipath","omnipath"
"1867","Fam3c","Clec2i","omnipath","omnipath"
"1868","Fam3c","Clec2h","omnipath","omnipath"
"1869","Fam3c","Clec2e","omnipath","omnipath"
"1870","Fam3c","Clec2g","omnipath","omnipath"
"1871","Fam3c","Ffar2","omnipath","omnipath"
"1872","Fam3c","Glra2","omnipath","omnipath"
"1873","Fam3c","Ffar3","omnipath","omnipath"
"1874","Fam3c","Kir3dl2","omnipath","omnipath"
"1875","Fam3c","Kir3dl1","omnipath","omnipath"
"1876","Fam3c","Lamp1","omnipath","omnipath"
"1877","Fam3c","Lifr","omnipath","omnipath"
"1878","Fam3c","Pdcd1","omnipath","omnipath"
"1879","Fam3d","Fpr1","omnipath","omnipath"
"1880","Fam3d","Fpr2","omnipath","omnipath"
"1881","Fam3d","Fpr3","omnipath","omnipath"
"1882","Fap","Dpp4","omnipath","omnipath"
"1883","Fap","Npr2","omnipath","omnipath"
"1884","Fasl","Fas","omnipath","omnipath"
"1885","Fat4","Dchs1","omnipath","omnipath"
"1886","Fbln1","Itgb1","omnipath","omnipath"
"1887","Fbln2","Itgb3","omnipath","omnipath"
"1888","Fbn1","Itga5","omnipath","omnipath"
"1889","Fbn1","Itgav","omnipath","omnipath"
"1890","Fbn1","Itgb1","omnipath","omnipath"
"1891","Fbn1","Itgb3","omnipath","omnipath"
"1892","Fbn1","Itgb6","omnipath","omnipath"
"1893","Fcer2a","Cr2","omnipath","omnipath"
"1894","Fcer2a","Itgam","omnipath","omnipath"
"1895","Fcer2a","Gm49368","omnipath","omnipath"
"1896","Fcer2a","Itgav","omnipath","omnipath"
"1897","Fcer2a","Itgax","omnipath","omnipath"
"1898","Fcer2a","Itgb2","omnipath","omnipath"
"1899","Fcer2a","Itgb2l","omnipath","omnipath"
"1900","Fcer2a","Itgb3","omnipath","omnipath"
"1901","Fcgr4","Eda2r","nichenet_verschueren","nichenet_verschueren"
"1902","Fcnb","Lrp1","omnipath","omnipath"
"1903","Fcrl6","Nrp2","nichenet_verschueren","nichenet_verschueren"
"1904","Fga","Cdh5","omnipath","omnipath"
"1905","Fga","Itga2b","omnipath","omnipath"
"1906","Fga","Itga5","omnipath","omnipath"
"1907","Fga","Itgam","omnipath","omnipath"
"1908","Fga","Gm49368","omnipath","omnipath"
"1909","Fga","Itgav","omnipath","omnipath"
"1910","Fga","Itgax","omnipath","omnipath"
"1911","Fga","Itgb1","omnipath","omnipath"
"1912","Fga","Itgb2","omnipath","omnipath"
"1913","Fga","Itgb2l","omnipath","omnipath"
"1914","Fga","Itgb3","omnipath","omnipath"
"1915","Fga","Plat","omnipath","omnipath"
"1916","Fga","Tlr4","omnipath","omnipath"
"1917","Fgb","Cdh5","omnipath","omnipath"
"1918","Fgb","Itga2b","omnipath","omnipath"
"1919","Fgb","Itga5","omnipath","omnipath"
"1920","Fgb","Itgam","omnipath","omnipath"
"1921","Fgb","Gm49368","omnipath","omnipath"
"1922","Fgb","Itgav","omnipath","omnipath"
